fonte,secao_origem,palavra_chave,posicao,product_id,produto,tipo_produto,seller,marca,preco_exibicao,preco,preco_original_exibicao,preco_original,ofertas_exibicao,ofertas,rating,reviews,tag,delivery,condicao_anuncio,link_produto_google,link_ofertas,thumbnail,thumbnail_video,product_token,capturado_em,preco_outlier,indice_preco,desconto_percentual,score_preco,score_promo,score_atratividade,score_visibilidade,score_qualidade,score_relevancia
google_shopping,shopping_results,modelador de cabelo,1,2294211339061613994,gama Modelador Ceramic Nano Tourmaline New Bivolt,outros,Mercado Livre,Ou,"R$ 149,90 agora",149.9,,,e mais,,4.8,219.0,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:8789309273153225653,mid:576462857130403386,oid:15775143954769853578,iid:5268592131990244912,rds:UENfODc4OTMwOTI3MzE1MzIyNTY1M3xQUk9EX1BDXzg3ODkzMDkyNzMxNTMyMjU2NTM=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:8789309273153225653,mid:576462857130403386,oid:15775143954769853578,iid:5268592131990244912,rds:UENfODc4OTMwOTI3MzE1MzIyNTY1M3xQUk9EX1BDXzg3ODkzMDkyNzMxNTMyMjU2NTM=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQIMpOjefIC7gjzgZWnrxdniOHbfP87VfQvi9ku_CHL2uA2nZ-5-yO17hqBfLZ_IWopQR0VLGLrpni8INQZwO6gPKXfY_wKAWmq2MB6PqdnxyC6xFx2XieArw,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiIyMjk0MjExMzM5MDYxNjEzOTk0IiwiZ3BjaWQiOiI4Nzg5MzA5MjczMTUzMjI1NjUzIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMTU3NzUxNDM5NTQ3Njk4NTM1NzgiLCJyZHMiOiJQQ184Nzg5MzA5MjczMTUzMjI1NjUzfFBST0RfUENfODc4OTMwOTI3MzE1MzIyNTY1MyIsImltYWdlRG9jaWQiOiI1MjY4NTkyMTMxOTkwMjQ0OTEyIiwicHZvIjoiMyIsImVpIjoiRDd3MmFjTEJDYXV4cXRzUCIsIm1pZCI6IjU3NjQ2Mjg1NzEzMDQwMzM4NiIsInB2dCI6ImhnIiwiZ2wiOiJiciIsImhsIjoicHQiLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIn0=,2025-12-08 08:53:21,False,0.7529258124466321,0.0,1.0,0.0,0.7,1.0,0.96,0.8979999999999999
google_shopping,shopping_results,modelador de cabelo,2,324239607243158912,"Modelador New Hair Style - 19MM 3/4"" - Bivolt",outros,Shopee,,"R$ 199,90",199.9,,,,,,,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=pid:324239607243158912,oid:324239607243158912,iid:6763598036325302385,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=pid:324239607243158912,oid:324239607243158912,iid:6763598036325302385,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRLUujTKTml1wCuICOGRoW4EoiFZXTm1gzbRS0zBCrbSRuSUyrrl_KLkvfyY5fNnMVx87ioeWFczFQl3JfjHWYftSlqmx_ZkjzEbeyP8YmETY31lWBMMqNjsQ,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIzMjQyMzk2MDcyNDMxNTg5MTIiLCJjYXRhbG9naWQiOiIiLCJncGNpZCI6IiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjMyNDIzOTYwNzI0MzE1ODkxMiIsInJkcyI6IiIsImltYWdlRG9jaWQiOiI2NzYzNTk4MDM2MzI1MzAyMzg1IiwicHZvIjoiMyIsImVpIjoiRDd3MmFjTEJDYXV4cXRzUCIsIm1pZCI6IiIsInB2dCI6ImhnIiwiZ2wiOiJiciIsImhsIjoicHQiLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIn0=,2025-12-08 08:53:21,False,1.004068511728364,0.0,0.9918629765432718,0.0,0.6943040835802903,0.975,,0.598291225074087
google_shopping,shopping_results,modelador de cabelo,3,12323186695122264829,gama Modelador Ceramic Nano Tourmaline New 19mm,outros,Miranda,Ou,"R$ 135,00 agora",135.0,,,e mais,,4.7,12.0,,Devolução gratuita em até 7 dia(s),,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:1673199342458467635,mid:576462868293887369,oid:12236365145549625632,iid:548790979964597551,rds:UENfMTY3MzE5OTM0MjQ1ODQ2NzYzNXxQUk9EX1BDXzE2NzMxOTkzNDI0NTg0Njc2MzU=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:1673199342458467635,mid:576462868293887369,oid:12236365145549625632,iid:548790979964597551,rds:UENfMTY3MzE5OTM0MjQ1ODQ2NzYzNXxQUk9EX1BDXzE2NzMxOTkzNDI0NTg0Njc2MzU=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQOkZRmIOw-ejzYLssTugu6EjvhqQeymN_0feToitgiGp47bR1CY1Yj0_TgCf95iP2dLGBpSsvrkezDcHb3lBvBr0iK-3--Htbaa-Abd5egyIIEyACarMeH,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiIxMjMyMzE4NjY5NTEyMjI2NDgyOSIsImdwY2lkIjoiMTY3MzE5OTM0MjQ1ODQ2NzYzNSIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjEyMjM2MzY1MTQ1NTQ5NjI1NjMyIiwicmRzIjoiUENfMTY3MzE5OTM0MjQ1ODQ2NzYzNXxQUk9EX1BDXzE2NzMxOTkzNDI0NTg0Njc2MzUiLCJpbWFnZURvY2lkIjoiNTQ4NzkwOTc5OTY0NTk3NTUxIiwicHZvIjoiMyIsImVpIjoiRDd3MmFjTEJDYXV4cXRzUCIsIm1pZCI6IjU3NjQ2Mjg2ODI5Mzg4NzM2OSIsInB2dCI6ImhnIiwiZ2wiOiJiciIsImhsIjoicHQiLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIn0=,2025-12-08 08:53:21,False,0.678085288060676,0.0,1.0,0.0,0.7,0.95,0.522424579643274,0.7467273738929822
google_shopping,shopping_results,modelador de cabelo,4,1876930082624899068,Kiss New York Instawave Modelador de Cachos Bivolt,outros,Magazine Luiza,,"R$ 400,36 agora",400.36,,,e mais,,4.6,104.0,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:5098522543619911319,mid:576462842110218570,oid:2185053597076265400,iid:9176735474919485830,rds:UENfNTA5ODUyMjU0MzYxOTkxMTMxOXxQUk9EX1BDXzUwOTg1MjI1NDM2MTk5MTEzMTk=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:5098522543619911319,mid:576462842110218570,oid:2185053597076265400,iid:9176735474919485830,rds:UENfNTA5ODUyMjU0MzYxOTkxMTMxOXxQUk9EX1BDXzUwOTg1MjI1NDM2MTk5MTEzMTk=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ1mamTee7CgumKhoNBsqYZsKAKSTdyJQyg6Ot9OlfJNiG7TzKcBADVxcirj5uDqUmrjdsPm44Gt-X_0_it08JlDqmzBEWWaWupbjsoRiCagYq6GBdxdgfM,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiIxODc2OTMwMDgyNjI0ODk5MDY4IiwiZ3BjaWQiOiI1MDk4NTIyNTQzNjE5OTExMzE5IiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMjE4NTA1MzU5NzA3NjI2NTQwMCIsInJkcyI6IlBDXzUwOTg1MjI1NDM2MTk5MTEzMTl8UFJPRF9QQ181MDk4NTIyNTQzNjE5OTExMzE5IiwiaW1hZ2VEb2NpZCI6IjkxNzY3MzU0NzQ5MTk0ODU4MzAiLCJwdm8iOiIzIiwiZWkiOiJEN3cyYWNMQkNhdXhxdHNQIiwibWlkIjoiNTc2NDYyODQyMTEwMjE4NTcwIiwicHZ0IjoiaGciLCJnbCI6ImJyIiwiaGwiOiJwdCIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMifQ==,2025-12-08 08:53:21,False,2.0109498216886834,0.0,0.0,0.0,0.0,0.925,0.9199999999999999,0.646
google_shopping,shopping_results,modelador de cabelo,5,11765118870688072772,Modelador de Cachos Ceramic Be Emotion | Bivolt,outros,Polishop,,"R$ 197,91 agora",197.91,,,,,,,,Devolução em até 7 dia(s),,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=pid:11765118870688072772,oid:11765118870688072772,iid:30659039184126746,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=pid:11765118870688072772,oid:11765118870688072772,iid:30659039184126746,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRlpJgp20D_0RiiEolmjLyIHt1MX6ZZJLSmM4kITeiwcqD20TABksJU3BZK3pJHR43f2x2HZil1OB24Pmh1CLie45TvUPfBaNNrLSUMSpXiCUxC3FuG7o10dg,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIxMTc2NTExODg3MDY4ODA3Mjc3MiIsImNhdGFsb2dpZCI6IiIsImdwY2lkIjoiIiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMTE3NjUxMTg4NzA2ODgwNzI3NzIiLCJyZHMiOiIiLCJpbWFnZURvY2lkIjoiMzA2NTkwMzkxODQxMjY3NDYiLCJwdm8iOiIzIiwiZWkiOiJEN3cyYWNMQkNhdXhxdHNQIiwibWlkIjoiIiwicHZ0IjoiaGciLCJnbCI6ImJyIiwiaGwiOiJwdCIsInV1bGUiOiJ3K0NBSVFJQ0lHUW5KaGVtbHMifQ==,2025-12-08 08:53:21,False,0.9940730322969511,0.0,1.0,0.0,0.7,0.9,,0.5700000000000001
google_shopping,shopping_results,modelador de cabelo,6,10143942216866020796,Modelador FlexStyle Lisos e Ondulados Shark 220V,outros,Mercado Livre,,"R$ 1.799,09 agora",1799.09,,,e mais,,3.8,46.0,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:9815025423417122587,mid:576462872268858685,oid:5849760374055463910,iid:14571213783062628317,rds:UENfOTgxNTAyNTQyMzQxNzEyMjU4N3xQUk9EX1BDXzk4MTUwMjU0MjM0MTcxMjI1ODc=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:9815025423417122587,mid:576462872268858685,oid:5849760374055463910,iid:14571213783062628317,rds:UENfOTgxNTAyNTQyMzQxNzEyMjU4N3xQUk9EX1BDXzk4MTUwMjU0MjM0MTcxMjI1ODc=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQDzhFUt9zu5WakUI1DR77lw8k7YBgmx7HD7YwRiAUq8Aw1PLItfMK9mFzw7ypRThVaVwUEMSPu9UVkw8zHfBS1eQ_2p_3eysQVRbTvWTHhV2PJ-dAlls7AZQ,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiIxMDE0Mzk0MjIxNjg2NjAyMDc5NiIsImdwY2lkIjoiOTgxNTAyNTQyMzQxNzEyMjU4NyIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjU4NDk3NjAzNzQwNTU0NjM5MTAiLCJyZHMiOiJQQ185ODE1MDI1NDIzNDE3MTIyNTg3fFBST0RfUENfOTgxNTAyNTQyMzQxNzEyMjU4NyIsImltYWdlRG9jaWQiOiIxNDU3MTIxMzc4MzA2MjYyODMxNyIsInB2byI6IjMiLCJlaSI6IkQ3dzJhY0xCQ2F1eHF0c1AiLCJtaWQiOiI1NzY0NjI4NzIyNjg4NTg2ODUiLCJwdnQiOiJoZyIsImdsIjoiYnIiLCJobCI6InB0IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyJ9,2025-12-08 08:53:21,True,9.03656637701542,0.0,0.0,0.0,0.0,0.875,0.6340272516442045,0.5402081754932614
google_shopping,shopping_results,modelador de cabelo,7,15277008102381722997,Mega Modelador Size Longo 19mm 220°c Bivolt,outros,Amazon.com.br - Seller,,"R$ 119,00 agora",119.0,,,,,4.8,5.0,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:4044721918789275093,mid:576462866750409084,oid:7281358747305811127,iid:18389711535928647367,rds:UENfNDA0NDcyMTkxODc4OTI3NTA5M3xQUk9EX1BDXzQwNDQ3MjE5MTg3ODkyNzUwOTM=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:4044721918789275093,mid:576462866750409084,oid:7281358747305811127,iid:18389711535928647367,rds:UENfNDA0NDcyMTkxODc4OTI3NTA5M3xQUk9EX1BDXzQwNDQ3MjE5MTg3ODkyNzUwOTM=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS2tEFvOv9cET6k1_8aUYDyzqi4tLQ4GISxHCa7qDXlqUaQxjzBMVEKItQL7nAmUPn8gycWRbXhvbny9nnLg71lyZt-DqveXHy8vipkFqKDa7nwUuia0W9EmQ,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiIxNTI3NzAwODEwMjM4MTcyMjk5NyIsImdwY2lkIjoiNDA0NDcyMTkxODc4OTI3NTA5MyIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjcyODEzNTg3NDczMDU4MTExMjciLCJyZHMiOiJQQ180MDQ0NzIxOTE4Nzg5Mjc1MDkzfFBST0RfUENfNDA0NDcyMTkxODc4OTI3NTA5MyIsImltYWdlRG9jaWQiOiIxODM4OTcxMTUzNTkyODY0NzM2NyIsInB2byI6IjMiLCJlaSI6IkQ3dzJhY0xCQ2F1eHF0c1AiLCJtaWQiOiI1NzY0NjI4NjY3NTA0MDkwODQiLCJwdnQiOiJoZyIsImdsIjoiYnIiLCJobCI6InB0IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyJ9,2025-12-08 08:53:21,False,0.5977196242905218,0.0,1.0,0.0,0.7,0.85,0.3727072964144863,0.6618121889243459
google_shopping,shopping_results,modelador de cabelo,8,17748512383910925539,Escova Modeladora Rotativa New Turbo Plus 2300 Gama,outros,Shopee,,"R$ 229,90",229.9,R$ 290,290.0,e mais,,4.5,584.0,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:8229092945036782462,mid:576462828044318271,oid:9721655655031675079,iid:2510965557827023610,rds:UENfODIyOTA5Mjk0NTAzNjc4MjQ2MnxQUk9EX1BDXzgyMjkwOTI5NDUwMzY3ODI0NjI=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:8229092945036782462,mid:576462828044318271,oid:9721655655031675079,iid:2510965557827023610,rds:UENfODIyOTA5Mjk0NTAzNjc4MjQ2MnxQUk9EX1BDXzgyMjkwOTI5NDUwMzY3ODI0NjI=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSKMQCG97GCPyeMsjMkcgOm6fcGfjXMha6-n6sUKntVROsbTybJTmmHNUYyA6sR9nMXcSIB_yXYmwanuADadvUWvxP14P7l3mGiDvkaXuFKygiLi2Q58eK0Ww,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiIxNzc0ODUxMjM4MzkxMDkyNTUzOSIsImdwY2lkIjoiODIyOTA5Mjk0NTAzNjc4MjQ2MiIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6Ijk3MjE2NTU2NTUwMzE2NzUwNzkiLCJyZHMiOiJQQ184MjI5MDkyOTQ1MDM2NzgyNDYyfFBST0RfUENfODIyOTA5Mjk0NTAzNjc4MjQ2MiIsImltYWdlRG9jaWQiOiIyNTEwOTY1NTU3ODI3MDIzNjEwIiwicHZvIjoiMyIsImVpIjoiRDd3MmFjTEJDYXV4cXRzUCIsIm1pZCI6IjU3NjQ2MjgyODA0NDMxODI3MSIsInB2dCI6ImhnIiwiZ2wiOiJiciIsImhsIjoicHQiLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIn0=,2025-12-08 08:53:21,False,1.1547541312974032,0.2072413793103448,0.6904917374051935,0.6908045977011494,0.6905855954939802,0.825,0.9,0.8071756786481942
google_shopping,shopping_results,modelador de cabelo,9,12014184811329685861,Modelador Babyliss Pro NanoTitanium Miracurl 3 Gold,outros,Zoom,,"R$ 765,00",765.0,Preço normal: R$ 960,960.0,,,5.0,2.0,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:6812208343790574674,mid:576462870642336453,oid:4867314344832027656,iid:6963340074559820880,rds:UENfNjgxMjIwODM0Mzc5MDU3NDY3NHxQUk9EX1BDXzY4MTIyMDgzNDM3OTA1NzQ2NzQ=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:6812208343790574674,mid:576462870642336453,oid:4867314344832027656,iid:6963340074559820880,rds:UENfNjgxMjIwODM0Mzc5MDU3NDY3NHxQUk9EX1BDXzY4MTIyMDgzNDM3OTA1NzQ2NzQ=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRItCX70s_RshTU06vTMRCS-EiQbPAfZT20m8f052cyLTFn2o8z8dCYhJ4JWV-vy0g4Ah0_HvbZAPqx-cFbMLww8EmoGpIvknQZ34-qw2yGMbw8Jlaz2XHI,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiIxMjAxNDE4NDgxMTMyOTY4NTg2MSIsImdwY2lkIjoiNjgxMjIwODM0Mzc5MDU3NDY3NCIsImhlYWRsaW5lT2ZmZXJEb2NpZCI6IjQ4NjczMTQzNDQ4MzIwMjc2NTYiLCJyZHMiOiJQQ182ODEyMjA4MzQzNzkwNTc0Njc0fFBST0RfUENfNjgxMjIwODM0Mzc5MDU3NDY3NCIsImltYWdlRG9jaWQiOiI2OTYzMzQwMDc0NTU5ODIwODgwIiwicHZvIjoiMyIsImVpIjoiRDd3MmFjTEJDYXV4cXRzUCIsIm1pZCI6IjU3NjQ2Mjg3MDY0MjMzNjQ1MyIsInB2dCI6ImhnIiwiZ2wiOiJiciIsImhsIjoicHQiLCJ1dWxlIjoidytDQUlRSUNJR1FuSmhlbWxzIn0=,2025-12-08 08:53:21,False,3.842483299010498,0.203125,0.0,0.6770833333333334,0.203125,0.8,0.23804628387473534,0.4523513851624206
google_shopping,shopping_results,modelador de cabelo,10,7285195329266463556,Modelador de Cachos Red Pro Curling Wand Conico,outros,Zattini,,"R$ 230,42 agora",230.42,,,,,4.0,5.0,,,,"https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:1864564043857268176,mid:576462502799596047,oid:17778981101463905910,iid:16142393851297482550,rds:UENfMTg2NDU2NDA0Mzg1NzI2ODE3NnxQUk9EX1BDXzE4NjQ1NjQwNDM4NTcyNjgxNzY=,pvt:hg,pvo:3&oshop=apv&pvs=0","https://www.google.com/search?q=modelador+de+cabelo+new&oq=modelador+de+cabelo+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:1864564043857268176,mid:576462502799596047,oid:17778981101463905910,iid:16142393851297482550,rds:UENfMTg2NDU2NDA0Mzg1NzI2ODE3NnxQUk9EX1BDXzE4NjQ1NjQwNDM4NTcyNjgxNzY=,pvt:hg,pvo:3&oshop=apv&pvs=0",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR5myYnKWzAIKoSLQ3bzPr5_yvKuUGcK1AzS9IXcRNZIZ8eSZbbvVogyVk1r2OpUK-fMmTIkXUKet0hDn2nxL2HaxHtbTOPa42EKwyraqTFWTKnkWzq4uwb,,eyJxIjoibW9kZWxhZG9yIGRlIGNhYmVsbyBuZXciLCJwcm9kdWN0aWQiOiIiLCJjYXRhbG9naWQiOiI3Mjg1MTk1MzI5MjY2NDYzNTU2IiwiZ3BjaWQiOiIxODY0NTY0MDQzODU3MjY4MTc2IiwiaGVhZGxpbmVPZmZlckRvY2lkIjoiMTc3Nzg5ODExMDE0NjM5MDU5MTAiLCJyZHMiOiJQQ18xODY0NTY0MDQzODU3MjY4MTc2fFBST0RfUENfMTg2NDU2NDA0Mzg1NzI2ODE3NiIsImltYWdlRG9jaWQiOiIxNjE0MjM5Mzg1MTI5NzQ4MjU1MCIsInB2byI6IjMiLCJlaSI6IkQ3dzJhY0xCQ2F1eHF0c1AiLCJtaWQiOiI1NzY0NjI1MDI3OTk1OTYwNDciLCJwdnQiOiJoZyIsImdsIjoiYnIiLCJobCI6InB0IiwidXVsZSI6IncrQ0FJUUlDSUdRbkpoZW1scyJ9,2025-12-08 08:53:21,False,1.1573660153699332,0.0,0.6852679692601336,0.0,0.4796875784820935,0.775,0.3105894136787386,0.5470830976482497
