fonte,palavra_chave,produto,preco,preco_original,tag_promocao,seller,marca,product_id,posicao,rating,reviews,delivery,condicao_anuncio,link,capturado_em,preco_outlier,indice_preco,desconto_percentual,score_preco,score_promo,score_atratividade,score_visibilidade,score_qualidade,score_relevancia
google_shopping,mop giratorio,Mop Giratório Flash Limp,89.0,,,Amazon.com.br - Retail,Flash Limp,6215895551107992179,1,4.9,827.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:16225561143176158116,mid:576462870580146187,oid:6891529226922471669,iid:538728409561308726,rds:UENfMTYyMjU1NjExNDMxNzYxNTgxMTZ8UFJPRF9QQ18xNjIyNTU2MTE0MzE3NjE1ODExNg==,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.8532259610775572,0.0,1.0,0.0,0.7,1.0,0.9800000000000001,0.904
google_shopping,mop giratorio,Mop Giratório Powermaid,44.9,50.0,,Amazon,Powermaid,127504127663368099,2,4.6,15.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:12039431089625236227,mid:576462460072697479,oid:10854834074165924347,iid:774011765852918379,rds:UENfMTIwMzk0MzEwODk2MjUyMzYyMjd8UFJPRF9QQ18xMjAzOTQzMTA4OTYyNTIzNjIyNw==,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.4304477039593519,0.10200000000000004,1.0,0.34000000000000014,0.802,0.975,0.5527009782631715,0.7964102934789515
google_shopping,mop giratorio,Mop Giratório Pro,179.37,,,Casas Bahia,,12630794082950243767,3,4.8,992.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:3507343911556656041,mid:576462759092733483,oid:9641640730968162485,iid:8573141054734845591,rds:UENfMzUwNzM0MzkxMTU1NjY1NjA0MXxQUk9EX1BDXzM1MDczNDM5MTE1NTY2NTYwNDE=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,1.719585849870578,0.0,0.0,0.0,0.0,0.95,0.96,0.6679999999999999
google_shopping,mop giratorio,flash limp Mop Giratório Fit,66.99,,,Lojas Caçula,Flash Limp,6009184614228503996,4,4.8,12.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:5387091044804330286,mid:576462841773391180,oid:3715494540134498910,iid:5274420613231320283,rds:UENfNTM4NzA5MTA0NDgwNDMzMDI4NnxQUk9EX1BDXzUzODcwOTEwNDQ4MDQzMzAyODY=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.6422203048605118,0.0,1.0,0.0,0.7,0.925,0.5335399962314287,0.7400619988694286
google_shopping,mop giratorio,Mop Giratório 360o Com Balde Duplo,42.14,,,Leroy Merlin,,9870657106604657536,5,4.4,858.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:8492333134667970664,mid:576462746267324374,oid:7010725478074641934,iid:5809818253788594449,rds:UENfODQ5MjMzMzEzNDY2Nzk3MDY2NHxQUk9EX1BDXzg0OTIzMzMxMzQ2Njc5NzA2NjQ=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.40398811235739623,0.0,1.0,0.0,0.7,0.9,0.8800000000000001,0.8340000000000001
google_shopping,mop giratorio,Noviça Mop Balde Original Bettanin,76.05,,,Amazon.com.br - Retail,Bettanin,2966301048297154263,6,4.8,614.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:13442420405216746937,mid:576462489602412712,oid:11564647007894235725,iid:4202672729954772374,rds:UENfMTM0NDI0MjA0MDUyMTY3NDY5Mzd8UFJPRF9QQ18xMzQ0MjQyMDQwNTIxNjc0NjkzNw==,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.729076790336497,0.0,1.0,0.0,0.7,0.875,0.96,0.848
google_shopping,mop giratorio,Mop Giratório Flow Bege,282.9,300.0,,Westwing,,1905776325910777716,7,4.8,99.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:16420314180994009530,mid:576462808309715939,oid:3234066108294953663,iid:9684530177563712602,rds:UENfMTY0MjAzMTQxODA5OTQwMDk1MzB8UFJPRF9QQ18xNjQyMDMxNDE4MDk5NDAwOTUzMA==,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,2.71210813920046,0.05700000000000008,0.0,0.19000000000000028,0.05700000000000008,0.85,0.957930212746518,0.6444790638239554
google_shopping,mop giratorio,Mop Giratório Fit 3 em 1,100.0,,,Amazon.com.br - Retail,,17898709841451254304,8,4.9,1.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:2341693952963643695,mid:576462859614506500,oid:17356817205241702918,iid:12796274875845687156,rds:UENfMjM0MTY5Mzk1Mjk2MzY0MzY5NXxQUk9EX1BDXzIzNDE2OTM5NTI5NjM2NDM2OTU=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,0.9586808551433228,0.0,1.0,0.0,0.7,0.825,0.1471866735592142,0.5841560020677643
google_shopping,mop giratorio,Balde Twister Mop Noviça,164.9,,,Deposito Santo Antonio,,9311551844721192517,9,4.8,1.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:9426962844969422618,mid:576462864715342631,oid:15263683426348784016,iid:5879462096865635715,rds:UENfOTQyNjk2Mjg0NDk2OTQyMjYxOHxQUk9EX1BDXzk0MjY5NjI4NDQ5Njk0MjI2MTg=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,1.5808647301313392,0.0,0.0,0.0,0.0,0.8,0.14418286389474042,0.3632548591684222
google_shopping,mop giratorio,a\casa Mop Rotatório Fendi 12L,119.9,,,Angeloni Super,,6088864160982181166,10,4.0,1.0,,,"https://www.google.com/search?q=mop+giratorio+new&oq=mop+giratorio+new&gl=br&hl=pt&udm=28&start=0&uule=w+CAIQICIGQnJhemls#oshopproduct=gid:5970818743258504022,mid:576462776542518349,oid:18279051516505880379,iid:1632049596599875797,rds:UENfNTk3MDgxODc0MzI1ODUwNDAyMnxQUk9EX1BDXzU5NzA4MTg3NDMyNTg1MDQwMjI=,pvt:hg,pvo:3&oshop=apv&pvs=0",2025-12-11 12:41:37,False,1.149458345316844,0.0,0.7010833093663118,0.0,0.4907583165564182,0.775,0.12015238657895036,0.4932732109406106
